season_id,player,gender,finish,origin,team,pair_id,source
s05_battle_of_the_seasons,Mike Lambert,M,Eliminated in Slam Dunk,w:c:The Real World: Miami,,row_010,cast
s05_battle_of_the_seasons,Flora Alekseyeva,F,Eliminated in Slam Dunk,w:c:The Real World: Miami,,row_010,cast
s05_battle_of_the_seasons,Adam Larson,M,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: The Quest,,row_011,cast
s05_battle_of_the_seasons,Jisela Delgado,F,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: The Quest,,row_011,cast
s05_battle_of_the_seasons,Chris Melling,M,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: Europe,,row_012,cast
s05_battle_of_the_seasons,Belou Den Tex,F,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: Europe,,row_012,cast
s05_battle_of_the_seasons,Stephen Williams,M,Eliminated in Slam Dunk,w:c:mtvrealworld:The Real World: Seattle,,row_013,cast
s05_battle_of_the_seasons,Lindsay Brien,F,Eliminated in Slam Dunk,w:c:mtvrealworld:The Real World: Seattle,,row_013,cast
s05_battle_of_the_seasons,Mike Johnson,M,Eliminated in Musical Inner-Tube Tango,w:c:mtvrealworld:The Real World: London,,row_014,cast
s05_battle_of_the_seasons,Sharon Gitau,F,Eliminated in Musical Inner-Tube Tango,w:c:mtvrealworld:The Real World: London,,row_014,cast
s05_battle_of_the_seasons,Chadwick Pelletier,M,Eliminated in Musical Inner-Tube Tango,w:c:roadrules:Road Rules: Down Under,,row_015,cast
s05_battle_of_the_seasons,Piggy Thomas,F,Eliminated in Musical Inner-Tube Tango,w:c:roadrules:Road Rules: Down Under,,row_015,cast
s05_battle_of_the_seasons,Yes Duffy,M,Eliminated in Hang Man,w:c:roadrules:Road Rules: Semester at Sea,,row_016,cast
s05_battle_of_the_seasons,Veronica Portillo,F,Eliminated in Hang Man,w:c:roadrules:Road Rules: Semester at Sea,,row_016,cast
s05_battle_of_the_seasons,Jon Brennan,M,Eliminated in Hang Man,w:c:mtvrealworld:The Real World: Los Angeles,,row_017,cast
s05_battle_of_the_seasons,Beth Stolarczyk,F,Eliminated in Hang Man,w:c:mtvrealworld:The Real World: Los Angeles,,row_017,cast
s06_battle_of_the_sexes,Mark Long,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The First Adventure,,,cast
s06_battle_of_the_sexes,Colin Mortensen,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,,,cast
s06_battle_of_the_sexes,Jamie Murray,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: New Orleans (2000),,,cast
s06_battle_of_the_sexes,Antoine de Bouverie,M,Eliminated in Maximum Velocity,w:c:roadrules:Road Rules: Europe,,,cast
s06_battle_of_the_sexes,Shane Landrum,M,Eliminated in Razors Edge,w:c:roadrules:Road Rules: Campus Crawl,,,cast
s06_battle_of_the_sexes,James Orlando,M,Eliminated in Human Aquarium,w:c:roadrules:Road Rules: Maximum Velocity Tour,,,cast
s06_battle_of_the_sexes,Eric Nies,M,Eliminated in Spider Mon,w:c:mtvrealworld:The Real World: New York,,,cast
s06_battle_of_the_sexes,Blair Herter,M,Eliminated in Collision Course,w:c:roadrules:Road Rules: The Quest,,,cast
s06_battle_of_the_sexes,Syrus Yarbrough,M,Eliminated in Stairway to Heaven,w:c:mtvrealworld:The Real World: Boston,,,cast
s06_battle_of_the_sexes,Theo Gantt,M,Eliminated in Leaky River,w:c:mtvrealworld:The Real World: Chicago,,,cast
s06_battle_of_the_sexes,Jake Bronstein,M,Eliminated in Battle of the Opposite Sexes,w:c:roadrules:Road Rules: Islands,,,cast
s06_battle_of_the_sexes,Dan Renzi,M,Eliminated in People Mover,w:c:mtvrealworld:The Real World: Miami,,,cast
s06_battle_of_the_sexes,Puck Rainey,M,Quit in People Mover,w:c:mtvrealworld:The Real World: San Francisco,,,cast
s06_battle_of_the_sexes,Yes Duffy,M,Eliminated in Seven Rings of Saturn,w:c:roadrules:Road Rules: Semester at Sea,,,cast
s06_battle_of_the_sexes,David Broom,M,Eliminated in Breath-Hold Bungee,w:c:mtvrealworld:The Real World: New Orleans (2000),,,cast
s06_battle_of_the_sexes,Eric Jones,M,Eliminated in Tree House,w:c:roadrules:Road Rules: Campus Crawl,,,cast
s06_battle_of_the_sexes,Laterrian Wallace,M,Eliminated in Dead Man's Drop,w:c:roadrules:Road Rules: Maximum Velocity Tour,,,cast
s06_battle_of_the_sexes,David Edwards,M,Quit in Sergeant Says,w:c:mtvrealworld:The Real World: Los Angeles,,,cast
s06_battle_of_the_sexes,Ruthie Alcaide,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,,,cast
s06_battle_of_the_sexes,Ellen Cho,F,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: The Quest,,,cast
s06_battle_of_the_sexes,Lori Trespicio,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,,,cast
s06_battle_of_the_sexes,Melissa Howard,F,Eliminated in Maximum Velocity,w:c:mtvrealworld:The Real World: New Orleans (2000),,,cast
s06_battle_of_the_sexes,Genesis Moss,F,Eliminated in Razors Edge,w:c:mtvrealworld:The Real World: Boston,,,cast
s06_battle_of_the_sexes,Emily Bailey,F,Quit in Razors Edge,w:c:roadrules:Road Rules: USA – The Second Adventure,,,cast
s06_battle_of_the_sexes,Anne Wharton,F,Eliminated in Spider Mon,w:c:roadrules:Road Rules: Northern Trail,,,cast
s06_battle_of_the_sexes,Ayanna Mackins,F,Eliminated in Collision Course,w:c:roadrules:Road Rules: Semester at Sea,,,cast
s06_battle_of_the_sexes,Veronica Portillo,F,Eliminated in Stairway to Heaven,w:c:roadrules:Road Rules: Semester at Sea,,,cast
s06_battle_of_the_sexes,Christina Pazsitzky,F,Eliminated in Leaky River,w:c:roadrules:Road Rules: Down Under,,,cast
s06_battle_of_the_sexes,Tonya Cooley,F,Eliminated in Battle of the Opposite Sexes,w:c:mtvrealworld:The Real World: Chicago,,,cast
s06_battle_of_the_sexes,Aneesa Ferreira,F,Eliminated in People Mover,w:c:mtvrealworld:The Real World: Chicago,,,cast
s06_battle_of_the_sexes,Rachel Robinson,F,Eliminated in Freeze Your Butt Off,w:c:roadrules:Road Rules: Campus Crawl,,,cast
s06_battle_of_the_sexes,Amaya Brecher,F,Eliminated in Seven Rings of Saturn,w:c:mtvrealworld:The Real World: Hawaii,,,cast
s06_battle_of_the_sexes,Jisela Delgado,F,Eliminated in Breath-Hold Bungee,w:c:roadrules:Road Rules: The Quest,,,cast
s06_battle_of_the_sexes,Gladys Sanabria,F,Eliminated in Tree House,w:c:roadrules:Road Rules: Latin America,,,cast
s06_battle_of_the_sexes,Beth Stolarczyk,F,Eliminated in Dead Man's Drop,w:c:mtvrealworld:The Real World: Los Angeles,,,cast
s06_battle_of_the_sexes,Julie Stoffer,F,Eliminated in Sergeant Says,w:c:mtvrealworld:The Real World: New Orleans (2000),,,cast
s07_the_gauntlet,Alton Williams,M,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,,cast
s07_the_gauntlet,Coral Smith,F,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Back to New York,Real World,,cast
s07_the_gauntlet,Mike Mizanin,M,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Back to New York,Real World,,cast
s07_the_gauntlet,Nathan Blackburn,M,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Seattle,Real World,,cast
s07_the_gauntlet,Norman Korpi,M,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: New York,Real World,,cast
s07_the_gauntlet,Theo Gantt,M,Eliminated in Gold Rush Part 1,w:c:mtvrealworld:The Real World: Chicago,Real World,,cast
s07_the_gauntlet,Irulan Wilson,F,Eliminated in Vertical Limit,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,,cast
s07_the_gauntlet,Rachel Braband,F,Eliminated in Rolling on the River,w:c:mtvrealworld:The Real World: Back to New York,Real World,,cast
s07_the_gauntlet,Trishelle Cannatella,F,Eliminated in Inferno,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,,cast
s07_the_gauntlet,Elka Walker,F,Eliminated in Sink My Ship,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s07_the_gauntlet,Matt Smith,M,Eliminated in Heavyweight Hustle,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,,cast
s07_the_gauntlet,Tonya Cooley,F,Eliminated in Mud Bath,w:c:mtvrealworld:The Real World: Chicago,Real World,,cast
s07_the_gauntlet,Montana McGlynn,F,Eliminated in Masquerade,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s07_the_gauntlet,David Broom,M,Eliminated in Howdy Telluride,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,,cast
s07_the_gauntlet,Adam Larson,M,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: The Quest,Road Rules,,cast
s07_the_gauntlet,Cara Zavaleta,F,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s07_the_gauntlet,Darrell Taylor,M,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,,cast
s07_the_gauntlet,Dave Giuntoli,M,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s07_the_gauntlet,Rachel Robinson,F,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,,cast
s07_the_gauntlet,Roni Martin,F,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Northern Trail,Road Rules,,cast
s07_the_gauntlet,Sarah Greyson,F,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,,cast
s07_the_gauntlet,Theo von Kurnatowski,M,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,,cast
s07_the_gauntlet,Veronica Portillo,F,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,,cast
s07_the_gauntlet,Abram Boise,M,Eliminated in All or Nothing,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s07_the_gauntlet,Laterrian Wallace,M,Eliminated in Turntable,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,,cast
s07_the_gauntlet,Steve Meinke,M,Eliminated in Red Barron,w:c:roadrules:Road Rules: The Quest,Road Rules,,cast
s07_the_gauntlet,Tina Barta,F,Eliminated in Holey Canoe,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s07_the_gauntlet,Katie Cooley,F,Eliminated in I Scream,w:c:roadrules:Road Rules: The Quest,Road Rules,,cast
s08_the_inferno,Coral Smith,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,Real World,,cast
s08_the_inferno,CT Tamburello,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Paris,Real World,,cast
s08_the_inferno,Mike Mizanin,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,Real World,,cast
s08_the_inferno,Syrus Yarbrough,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s08_the_inferno,David Burns,M,Eliminated in The Final Burn,w:c:mtvrealworld:The Real World: Seattle,Real World,,cast
s08_the_inferno,Leah Gillingwater,F,Eliminated in Window Washing,w:c:mtvrealworld:The Real World: Paris,Real World,,cast
s08_the_inferno,Julie Stoffer,F,Eliminated in Balcony Swing,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,,cast
s08_the_inferno,Mallory Snyder,F,Eliminated in Don't Yank My Chain,w:c:mtvrealworld:The Real World: Paris,Real World,,cast
s08_the_inferno,Trishelle Cannatella,F,Eliminated in Climbing Wall,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,,cast
s08_the_inferno,Ace Amerson,M,Eliminated in Birdfeeder,w:c:mtvrealworld:The Real World: Paris,Real World,,cast
s08_the_inferno,Abram Boise,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s08_the_inferno,Christena Pyle,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s08_the_inferno,Darrell Taylor,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,,cast
s08_the_inferno,Holly Shand,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Latin America,Road Rules,,cast
s08_the_inferno,Katie Cooley,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: The Quest,Road Rules,,cast
s08_the_inferno,Kendal Sheppard,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,,cast
s08_the_inferno,Timmy Beggy,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The Second Adventure,Road Rules,,cast
s08_the_inferno,Veronica Portillo,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,,cast
s08_the_inferno,Shane Landrum,M,Eliminated in Bungee Bound,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,,cast
s08_the_inferno,Jeremy Blossom,M,Eliminated in Balls Out,w:c:roadrules:Road Rules: South Pacific,Road Rules,,cast
s09_battle_of_the_sexes_2,Dan Setzler,M,Winners in Episode 17,wikipedia:Road Rules: Northern Trail,,,cast
s09_battle_of_the_sexes_2,Eric Nies,M,Winners in Episode 17,w:c:mtvrealworld:The Real World: New York,,,cast
s09_battle_of_the_sexes_2,Theo von Kurnatowski,M,Winners in Episode 17,w:c:roadrules:Road Rules: Maximum Velocity Tour,,,cast
s09_battle_of_the_sexes_2,Mark Long,M,Eliminated in Episode 16,w:c:roadrules:Road Rules: USA – The First Adventure,,,cast
s09_battle_of_the_sexes_2,Brad Fiorenza,M,Eliminated in Episode 15,w:c:mtvrealworld:The Real World: San Diego (2004),,,cast
s09_battle_of_the_sexes_2,Shane Landrum,M,Eliminated in Episode 14,w:c:roadrules:Road Rules: Campus Crawl,,,cast
s09_battle_of_the_sexes_2,Steven Hill,M,Disqualified in Episode 13,w:c:mtvrealworld:The Real World: Las Vegas (2002),,,cast
s09_battle_of_the_sexes_2,Randy Barry,M,Eliminated in Episode 12,w:c:mtvrealworld:The Real World: San Diego (2004),,,cast
s09_battle_of_the_sexes_2,Frank Roessler,M,Eliminated in Episode 11,w:c:mtvrealworld:The Real World: Las Vegas (2002),,,cast
s09_battle_of_the_sexes_2,Nick Haggart,M,Eliminated in Episode 10,w:c:roadrules:Road Rules: X-Treme,,,cast
s09_battle_of_the_sexes_2,Chris Graebe,M,Eliminated in Episode 9,w:c:roadrules:Road Rules: South Pacific,,,cast
s09_battle_of_the_sexes_2,Mike Mizanin,M,Eliminated in Episode 8,w:c:mtvrealworld:The Real World: Back to New York,,,cast
s09_battle_of_the_sexes_2,Shawn Sealy,M,Eliminated in Episode 7,w:c:roadrules:Road Rules: Semester at Sea,,,cast
s09_battle_of_the_sexes_2,Derrick Kosinski,M,Eliminated in Episode 6,w:c:roadrules:Road Rules: X-Treme,,,cast
s09_battle_of_the_sexes_2,Abram Boise,M,Eliminated in Episode 5,w:c:roadrules:Road Rules: South Pacific,,,cast
s09_battle_of_the_sexes_2,Adam King,M,Eliminated in Episode 4,w:c:mtvrealworld:The Real World: Paris,,,cast
s09_battle_of_the_sexes_2,Ace Amerson,M,Eliminated in Episode 3,w:c:mtvrealworld:The Real World: Paris,,,cast
s09_battle_of_the_sexes_2,Jacquese Smith,M,Eliminated in Episode 2,w:c:mtvrealworld:The Real World: San Diego (2004),,,cast
s09_battle_of_the_sexes_2,Arissa Hill,F,Runners-Up in Episode 17,w:c:mtvrealworld:The Real World: Las Vegas (2002),,,cast
s09_battle_of_the_sexes_2,Coral Smith,F,Runners-Up in Episode 17,w:c:mtvrealworld:The Real World: Back to New York,,,cast
s09_battle_of_the_sexes_2,Sophia Pasquis,F,Runners-Up in Episode 17,w:c:roadrules:Road Rules: The Quest,,,cast
s09_battle_of_the_sexes_2,Tina Barta,F,Eliminated in Episode 16,w:c:roadrules:Road Rules: South Pacific,,,cast
s09_battle_of_the_sexes_2,Ruthie Alcaide,F,Eliminated in Episode 15,w:c:mtvrealworld:The Real World: Hawaii,,,cast
s09_battle_of_the_sexes_2,Robin Hibbard,F,Eliminated in Episode 14,w:c:mtvrealworld:The Real World: San Diego (2004),,,cast
s09_battle_of_the_sexes_2,Tonya Cooley,F,Eliminated in Episode 13,w:c:mtvrealworld:The Real World: Chicago,,,cast
s09_battle_of_the_sexes_2,Ibis Nieves,F,Eliminated in Episode 12,w:c:roadrules:Road Rules: X-Treme,,,cast
s09_battle_of_the_sexes_2,Veronica Portillo,F,Eliminated in Episode 11,w:c:roadrules:Road Rules: Semester at Sea,,,cast
s09_battle_of_the_sexes_2,Aneesa Ferreira,F,Eliminated in Episode 10,w:c:mtvrealworld:The Real World: Chicago,,,cast
s09_battle_of_the_sexes_2,Katie Cooley,F,Eliminated in Episode 9,w:c:roadrules:Road Rules: The Quest,,,cast
s09_battle_of_the_sexes_2,Rachel Robinson,F,Eliminated in Episode 8,w:c:roadrules:Road Rules: Campus Crawl,,,cast
s09_battle_of_the_sexes_2,Angela Trimbur,F,Eliminated in Episode 7,w:c:roadrules:Road Rules: X-Treme,,,cast
s09_battle_of_the_sexes_2,Cynthia Roberts,F,Eliminated in Episode 6,w:c:mtvrealworld:The Real World: Miami,,,cast
s09_battle_of_the_sexes_2,Ayanna Mackins,F,Eliminated in Episode 5,w:c:roadrules:Road Rules: Semester at Sea,,,cast
s09_battle_of_the_sexes_2,Kina Dean,F,Eliminated in Episode 4,w:c:roadrules:Road Rules: X-Treme,,,cast
s09_battle_of_the_sexes_2,Cameran Eubanks,F,Eliminated in Episode 3,w:c:mtvrealworld:The Real World: San Diego (2004),,,cast
s09_battle_of_the_sexes_2,Genesis Moss,F,Eliminated in Episode 2,w:c:mtvrealworld:The Real World: Boston,,,cast
s10_the_inferno_ii,Abram Boise,M,Runners-Up in Episode 16,w:c:roadrules:Road Rules: South Pacific,Bad Asses,,cast
s10_the_inferno_ii,CT Tamburello,M,Runners-Up in Episode 16,w:c:mtvrealworld:The Real World: Paris,Bad Asses,,cast
s10_the_inferno_ii,Derrick Kosinski,M,Runners-Up in Episode 16,w:c:roadrules:Road Rules: X-Treme,Bad Asses,,cast
s10_the_inferno_ii,Rachel Robinson,F,Runners-Up in Episode 16,w:c:roadrules:Road Rules: Campus Crawl,Bad Asses,,cast
s10_the_inferno_ii,Tina Barta,F,Runners-Up in Episode 16,w:c:roadrules:Road Rules: South Pacific,Bad Asses,,cast
s10_the_inferno_ii,Tonya Cooley,F,Runners-Up in Episode 16,w:c:mtvrealworld:The Real World: Chicago,Bad Asses,,cast
s10_the_inferno_ii,Veronica Portillo,F,Runners-Up in Episode 16,w:c:roadrules:Road Rules: Semester at Sea,Bad Asses,,cast
s10_the_inferno_ii,Dan Renzi,M,Eliminated in Episode 14,w:c:mtvrealworld:The Real World: Miami,Bad Asses,,cast
s10_the_inferno_ii,Karamo Brown,M,Eliminated in Episode 6,w:c:mtvrealworld:The Real World: Philadelphia,Bad Asses,,cast
s10_the_inferno_ii,Beth Stolarczyk,F,Quit in Episode 5,w:c:mtvrealworld:The Real World: Los Angeles,Bad Asses,,cast
s10_the_inferno_ii,Darrell Taylor,M,Winners in Episode 16,w:c:roadrules:Road Rules: Campus Crawl,Good Guys,,cast
s10_the_inferno_ii,Jamie Chung,F,Winners in Episode 16,w:c:mtvrealworld:The Real World: San Diego (2004),Good Guys,,cast
s10_the_inferno_ii,Landon Lueck,M,Winners in Episode 16,w:c:mtvrealworld:The Real World: Philadelphia,Good Guys,,cast
s10_the_inferno_ii,Mike Mizanin,M,Winners in Episode 16,w:c:mtvrealworld:The Real World: Back to New York,Good Guys,,cast
s10_the_inferno_ii,Shavonda Billingslea,F,Eliminated in Episode 15,w:c:mtvrealworld:The Real World: Philadelphia,Good Guys,,cast
s10_the_inferno_ii,Julie Stoffer,F,Eliminated in Episode 12,w:c:mtvrealworld:The Real World: New Orleans (2000),Good Guys,,cast
s10_the_inferno_ii,Brad Fiorenza,M,Eliminated in Episode 10,w:c:mtvrealworld:The Real World: San Diego (2004),Good Guys,,cast
s10_the_inferno_ii,Jodi Weatherton,F,Eliminated in Episode 8,w:c:roadrules:Road Rules: X-Treme,Good Guys,,cast
s10_the_inferno_ii,Robin Hibbard,F,Eliminated in Episode 4,w:c:mtvrealworld:The Real World: San Diego (2004),Good Guys,,cast
